browser,shell,route,theme,breakpoint,width,height,result,contrast,interactiveContrast,overflow_px,scrollable,reason,evidence
chromium,marketing,/compare,kinetic,desktop,1280,800,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/desktop/kinetic/marketing-compare.png
chromium,marketing,/compare,kinetic,mobile-s,375,667,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/mobile-s/kinetic/marketing-compare.png
chromium,marketing,/compare,kinetic,tablet,768,1024,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/tablet/kinetic/marketing-compare.png
chromium,marketing,/compare,soft,desktop,1280,800,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/desktop/soft/marketing-compare.png
chromium,marketing,/compare,soft,mobile-s,375,667,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/soft/marketing-compare.png
chromium,marketing,/compare,soft,tablet,768,1024,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/tablet/soft/marketing-compare.png
chromium,marketing,/contact,bento,desktop,1280,800,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/desktop/bento/marketing-contact.png
chromium,marketing,/contact,bento,mobile-s,375,667,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/mobile-s/bento/marketing-contact.png
chromium,marketing,/contact,bento,tablet,768,1024,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/tablet/bento/marketing-contact.png
chromium,marketing,/contact,brutal,desktop,1280,800,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/desktop/brutal/marketing-contact.png
chromium,marketing,/contact,brutal,mobile-s,375,667,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/mobile-s/brutal/marketing-contact.png
chromium,marketing,/contact,brutal,tablet,768,1024,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/tablet/brutal/marketing-contact.png
chromium,marketing,/contact,copilot,desktop,1280,800,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/desktop/copilot/marketing-contact.png
chromium,marketing,/contact,copilot,mobile-s,375,667,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/copilot/marketing-contact.png
chromium,marketing,/contact,copilot,tablet,768,1024,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/tablet/copilot/marketing-contact.png
chromium,marketing,/contact,cyber,desktop,1280,800,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/desktop/cyber/marketing-contact.png
chromium,marketing,/contact,cyber,mobile-s,375,667,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/mobile-s/cyber/marketing-contact.png
chromium,marketing,/contact,cyber,tablet,768,1024,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/tablet/cyber/marketing-contact.png
chromium,marketing,/contact,earthy,desktop,1280,800,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/desktop/earthy/marketing-contact.png
chromium,marketing,/contact,earthy,mobile-s,375,667,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/mobile-s/earthy/marketing-contact.png
chromium,marketing,/contact,earthy,tablet,768,1024,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/tablet/earthy/marketing-contact.png
chromium,marketing,/contact,glass,desktop,1280,800,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/desktop/glass/marketing-contact.png
chromium,marketing,/contact,glass,mobile-s,375,667,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/mobile-s/glass/marketing-contact.png
chromium,marketing,/contact,glass,tablet,768,1024,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/tablet/glass/marketing-contact.png
chromium,marketing,/contact,kinetic,desktop,1280,800,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/desktop/kinetic/marketing-contact.png
chromium,marketing,/contact,kinetic,mobile-s,375,667,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/mobile-s/kinetic/marketing-contact.png
chromium,marketing,/contact,kinetic,tablet,768,1024,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/tablet/kinetic/marketing-contact.png
chromium,marketing,/contact,soft,desktop,1280,800,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/desktop/soft/marketing-contact.png
chromium,marketing,/contact,soft,mobile-s,375,667,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/soft/marketing-contact.png
chromium,marketing,/contact,soft,tablet,768,1024,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/tablet/soft/marketing-contact.png
chromium,marketing,/customers,bento,desktop,1280,800,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/desktop/bento/marketing-customers.png
